,VOC,JSC,FF,PCE,Electrolyte,Molecule SMILE,Exposure time (h),Solar simulator at 1.5G (mW/cm2),Dye loading (nmol/cm2),Semiconductor Type,Semiconductor Film Thickness (um),Semiconductor Scattering Layer Thickness (um),Used Co-sensitizer,Used Co-adsorbent,Co-adsorbent type,Co-adsorbent Conc. (mM),Active area (cm2)
2947,700.0,13.8,0.77,7.4,Iodide_Triiodide,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1cc2c(s1)c1c(n2CC)cccc1,12.0,100.0,152.64,TiO2,9.0,5.0,0,0,None,0.0,0.2354
2948,700.0,14.6,0.76,7.8,Iodide_Triiodide,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1cc2c(s1)c1c(n2CC)cccc1,12.0,100.0,152.64,TiO2,9.0,5.0,0,0,None,0.0,0.2354
2949,660.0,15.0,0.74,7.3,Iodide_Triiodide,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(cc1CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1sc2c(c1)n(c1c2cccc1)CC,12.0,100.0,152.64,TiO2,9.0,5.0,0,0,None,0.0,0.2354
2950,558.0,7.8,0.59,2.57,Iodide_Triiodide,CCN1C(=S)S/C(=c\2/s/c(=C\c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,12.0,100.0,152.64,ZnO,4.3,0.0,0,0,None,0.0,0.28
2951,581.0,5.0,0.64,1.84,Iodide_Triiodide,N#C/C(=C\c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)/C(=O)O,12.0,100.0,152.64,ZnO,4.3,0.0,0,0,None,0.0,0.28
2952,578.0,6.0,0.59,2.04,Iodide_Triiodide,CCN1C(=S)S/C(=c\2/s/c(=C\c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,12.0,100.0,152.64,ZnO,4.3,0.0,0,0,None,0.0,0.28
2953,344.0,2.6,0.51,0.45,Iodide_Triiodide,CCCCCCCC[N+]1=C(/C=C/2\C(=C(C2=O)/C=C\2/N(CC)c3c(C2(C)C)c2ccccc2cc3)[O-])C(c2c1ccc(c2)C(=O)O)(C)C,12.0,100.0,152.64,ZnO,4.3,0.0,0,0,None,0.0,0.28
2954,403.0,5.1,0.52,1.04,Iodide_Triiodide,CCCCCCCC[N+]1=C(/C=C/2\C(=C(C2=O)/C=C\2/N(CC)c3c(C2(C)C)c2ccccc2cc3)[O-])C(c2c1ccc(c2)C(=O)O)(C)C,12.0,100.0,152.64,ZnO,4.3,0.0,1,0,None,0.0,0.28
2955,620.0,9.35,0.71,4.12,Iodide_Triiodide,CCCCCCn1cc(c2c1ccc(c2)OC)/C=C(\c1ccc(s1)/C=N/c1ccc(cc1)C(=O)O)/C#N,20.0,100.0,152.64,TiO2,10.0,0.0,0,0,None,0.0,0.18
2956,640.0,8.3,0.72,3.82,Iodide_Triiodide,CCCCCCn1cc(c2c1ccc(c2)OC)/C=C(\c1ccc(s1)/C=N/c1ccc(cc1)C(=O)O)/C#N,20.0,100.0,152.64,TiO2,10.0,0.0,0,0,None,0.0,0.18
2957,628.0,14.16,0.66,5.87,Iodide_Triiodide,CCCCCn1c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1cc(/C=C/c1ccc(s1)/C=C(/C(=O)O)\C#N)cc2,5.0,100.0,152.64,TiO2,12.0,4.0,0,0,None,0.0,0.142
2958,405.0,6.0,0.49,1.2,Iodide_Triiodide,CCCCCCCC[N+]1=C(/C=C/2\C(=C(C2=O)/C=C\2/N(CC)c3c(C2(C)C)c2ccccc2cc3)[O-])C(c2c1ccc(c2)C(=O)O)(C)C,12.0,100.0,152.64,ZnO,4.3,0.0,1,0,None,0.0,0.28
2959,557.0,5.8,0.64,2.06,Iodide_Triiodide,CCN1C(=S)S/C(=c\2/s/c(=C\c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,12.0,100.0,152.64,ZnO,4.3,0.0,0,1,cholic acid,5.12,0.28
2960,579.0,6.7,0.63,2.42,Iodide_Triiodide,CCN1C(=S)S/C(=c\2/s/c(=C\c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,12.0,100.0,152.64,ZnO,4.3,0.0,1,1,octanoic acid,5.12,0.28
